date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-01-16,15.488232,17.782465,,,12.817945,46.058758,5.877573,9.8665,11.597334,12.662335,13.800959,7.936795,3.793705,4.497248,,37.397545,,1.479375,,13.599464,12.913053,1.23585,8.480351,6.809057,6.303325,,,8.721764,1.075352,11.684582,19.629307,3.4975,17.174452,11.147746,17.537853,7.25074,2.723941,,26.724844,,7.785408,4.32821,16.215187,10.290921,21.425152,4.106268,20.779665,12.297136,11.002556,18.537106,32.584496,5.21423,4.562276,1.858972,1.796115,13.525537,14.613375,12.071676,,,18.844374,18.852184,5.298554,3.644716,,16.710052,8.842752,7.694099,9.485376,13.548815,8.587163,21.970568,,,,11.354748,8.540301,25.423132
2018-01-17,15.580175,17.484858,,,12.855163,47.474751,5.926883,10.100335,11.95253,12.97898,14.117683,7.790103,3.924522,4.586625,,37.086349,,1.455687,,13.988946,12.894373,1.211372,8.73834,6.895428,6.555939,,,8.795055,1.06679,11.859273,19.59976,3.49,17.21335,11.270432,17.639153,7.521513,2.826038,,26.732204,,7.750543,4.394797,16.482925,10.064614,21.961956,4.191943,20.800789,12.351038,11.180017,18.537106,33.374184,5.402929,4.745802,1.868197,1.797113,13.07448,14.837979,12.20371,,,19.34794,19.055901,5.5816,3.643466,,16.890564,8.87305,7.754541,9.443247,13.665566,8.736028,22.412052,,,,11.42748,8.491125,25.814257
2018-01-18,15.502374,17.819672,,,12.76584,47.614788,5.995911,10.031895,12.000811,12.964897,14.262076,7.720618,3.964774,4.553995,,36.813091,,1.429847,,13.940262,12.98154,1.205402,8.84237,6.886004,6.339412,,,8.703441,1.078776,11.898828,19.274738,3.4875,17.699602,11.011801,17.594835,7.290853,2.7852,,26.474945,,7.559946,4.416994,16.444164,10.42194,21.737793,4.094029,20.460182,12.243233,11.002556,19.093481,32.722691,5.394605,4.709614,1.863585,1.73721,13.121794,14.711105,12.156556,,,19.159101,18.922028,5.486734,3.657197,,18.050983,8.808127,7.73641,9.422182,13.74921,8.563659,22.261425,,,,11.42748,8.373101,25.696915
2018-01-19,15.558951,18.511631,,,13.026369,47.303589,6.13398,9.966311,12.069778,13.056378,14.294679,7.790103,4.063391,4.56109,,38.490555,,1.434154,,13.794206,12.825887,1.223313,8.815323,6.879724,6.423618,,,8.703441,1.078776,12.113072,19.383078,3.4875,18.367393,11.073141,17.582172,7.100309,2.683103,,26.651352,,7.634326,4.431789,16.578035,10.404072,21.578524,4.100148,20.264791,12.320236,11.002556,18.976486,33.857861,5.358528,4.719954,1.858972,1.759174,13.232193,14.625377,12.165986,,,18.875845,19.015154,5.506952,3.722103,,18.2229,8.799473,7.724322,9.674967,13.716102,8.955408,22.271812,,,,11.066499,8.48785,25.595228
2018-01-22,15.488232,18.303293,,,13.97171,47.925999,6.101929,10.000532,12.311176,13.235815,14.229474,7.797825,4.164019,4.529878,,39.492481,,1.41262,,13.721177,12.701362,1.216745,8.721697,6.94882,6.46572,,,8.642365,1.07364,12.09659,19.294439,3.45,18.581341,11.031693,17.398561,7.010049,2.703522,,26.577845,,7.758677,4.54277,16.990194,10.672065,21.478239,4.038952,20.330803,12.112332,10.825096,18.937487,34.430389,5.414028,4.774236,1.858972,1.697274,13.377289,14.632235,12.024522,,,18.506041,19.492424,5.513172,3.700883,,18.31745,8.847083,7.73641,9.837471,13.798004,8.814377,22.152353,,,,11.176948,8.392771,25.22757
2018-01-23,15.431654,17.670866,,,13.592084,45.872032,6.060015,10.043304,12.318069,13.29562,14.345913,7.689737,4.244523,4.358216,,38.315979,,1.408313,,13.331692,12.583066,1.222118,8.861094,6.920552,6.171003,,,8.526318,1.063365,11.809834,19.136854,3.375,18.607277,10.890772,16.936375,6.874662,2.61776,,26.291199,,7.594811,4.483582,16.926773,10.62442,21.006313,3.91656,19.739363,12.027632,10.676028,18.591703,34.252712,5.366855,4.714784,1.826681,1.728823,13.41199,14.20873,11.685006,,,17.868713,19.515703,5.440077,3.740825,,18.111155,8.795142,7.651795,9.7833,13.871192,8.399121,21.258987,,,,11.176948,8.150169,24.44532
2018-01-24,15.481159,17.856874,,,14.552316,45.80201,6.378056,10.833193,13.169848,14.0028,14.816351,7.566205,4.306912,4.4405,,38.604408,,1.453534,,13.445292,12.869468,1.259731,9.196064,7.124697,6.531881,,,8.856133,1.0959,12.09659,19.501268,3.425,19.190779,11.238932,17.886076,7.09028,2.744361,,26.813044,,7.666866,4.775827,17.744053,10.672065,21.973757,4.204182,21.38431,12.281734,10.839293,18.87509,36.621773,5.724828,4.999118,1.87281,1.827065,13.683256,14.486493,12.477209,,,19.017466,20.458605,5.5816,3.906835,,17.956432,8.907678,7.827071,9.981915,14.1169,8.853553,21.700474,,,,11.853114,8.163283,25.423132
2018-01-25,15.481159,17.856874,,,14.552316,45.80201,6.378056,10.833193,13.169848,14.0028,14.816351,7.566205,4.306912,4.4405,,38.604408,,1.453534,,13.445292,12.869468,1.259731,9.196064,7.124697,6.531881,,,8.856133,1.0959,12.09659,19.501268,3.425,19.190779,11.238932,17.886076,7.09028,2.744361,,26.813044,,7.666866,4.775827,17.744053,10.672065,21.973757,4.204182,21.38431,12.281734,10.839293,18.87509,,5.724828,4.999118,1.87281,1.827065,13.683256,14.486493,12.477209,,,19.017466,20.458605,5.5816,3.906835,,17.956432,8.907678,7.827071,9.981915,14.1169,8.853553,21.700474,,,,11.853114,8.163283,25.423132
2018-01-26,15.474085,18.221449,,,15.073369,45.794228,6.496396,11.16968,13.77679,14.495367,15.137734,7.49672,4.427667,4.413545,,38.202126,,1.599964,,13.299235,13.01267,1.283612,9.410361,7.185943,6.54391,,,9.222593,1.113023,12.132848,19.491421,3.425,19.450115,11.305249,18.107679,7.491427,2.805619,,26.460253,,7.765651,4.975591,18.635324,10.61251,22.540058,4.136866,21.862219,12.320236,10.945767,19.298872,36.078861,6.024527,5.151627,1.9051,1.776746,13.768419,14.695674,13.184533,,,19.709873,21.354946,5.629813,3.972989,,17.698563,8.855739,8.093007,10.126364,14.057652,8.939736,21.518688,,,,11.718422,8.199347,26.36183
2018-01-29,15.445798,18.675318,,,15.051039,45.125141,6.506256,11.106949,13.380211,14.073173,14.532228,7.50444,4.377352,4.449011,,38.39188,,1.617192,,13.023352,13.22436,1.301523,9.497745,7.159245,6.447677,,,9.161518,1.121585,12.07352,19.747492,3.4625,19.424179,11.356644,18.114004,7.330969,2.748445,,26.423496,,7.814462,4.846115,18.209066,10.719711,22.044542,4.155226,22.337479,12.081532,10.903176,18.979082,35.338535,6.024527,5.130945,1.932777,1.807097,13.752652,14.488205,12.920465,,,19.780693,20.790371,5.684244,4.016676,,17.595411,8.855739,8.044657,9.900665,13.843314,9.049428,21.75761,,,,11.718422,7.937073,26.142801
2018-01-30,15.467014,18.154488,,,14.887277,45.125141,6.459414,11.064173,13.449182,14.213901,14.536883,7.49672,4.246534,4.409289,,38.32357,,1.623651,,13.063922,13.280396,1.297941,9.233514,7.203217,6.513838,,,9.094334,1.113023,12.014192,19.944479,3.45,19.443632,11.439538,18.550875,7.381111,2.789284,,26.313244,,7.738921,4.875709,18.138605,10.767349,22.121225,4.191943,22.353323,12.104631,10.825096,18.877693,35.042397,5.877454,5.037891,1.918938,1.747793,13.733728,14.573937,12.826157,,,19.513168,20.749634,5.737121,3.964252,,18.102556,8.808127,7.953997,9.804367,13.932185,9.072931,21.539465,,,,11.715729,7.868226,26.369652
2018-01-31,15.523594,18.147049,,,15.132916,46.502232,6.429828,11.315116,13.562975,14.33704,14.490308,7.434954,4.256598,4.439082,,37.503815,,1.615038,,13.185637,13.35511,1.29615,9.079553,7.0823,6.610072,,,9.149302,1.121585,11.846088,19.717949,3.46,19.774282,11.60533,18.994068,7.220652,2.809703,,26.71015,,7.815625,4.901605,18.409851,10.606558,22.333591,4.167464,22.32692,12.066131,10.754111,18.859489,34.469872,5.910754,5.092174,1.928164,1.763168,13.935597,14.476209,13.458034,,,20.284252,20.860216,5.657805,3.918068,,17.758728,8.721561,8.159494,9.780291,14.209263,9.292312,21.529078,,,,11.731894,7.76987,27.417868
