date,ticker,return_daily,cumulative_return,log_return,ticker_clean
2018-01-02,ALOS3.SA,,,,ALOS3
2018-01-03,ALOS3.SA,0.758786,0.758786,0.007559,ALOS3
2018-01-04,ALOS3.SA,-0.237798,0.519184,-0.002381,ALOS3
2018-01-05,ALOS3.SA,0.119203,0.639005,0.001191,ALOS3
2018-01-08,ALOS3.SA,-2.777802,-2.156547,-0.028171,ALOS3
2018-01-09,ALOS3.SA,-1.020384,-3.154926,-0.010256,ALOS3
2018-01-10,ALOS3.SA,-1.237115,-4.353011,-0.012448,ALOS3
2018-01-11,ALOS3.SA,0.208742,-4.153356,0.002085,ALOS3
2018-01-12,ALOS3.SA,0.0,-4.153356,0.0,ALOS3
2018-01-15,ALOS3.SA,-0.458314,-4.592634,-0.004594,ALOS3
2018-01-16,ALOS3.SA,0.041849,-4.552707,0.000418,ALOS3
2018-01-17,ALOS3.SA,-1.673654,-6.150164,-0.016878,ALOS3
2018-01-18,ALOS3.SA,1.914924,-4.353011,0.018968,ALOS3
2018-01-19,ALOS3.SA,3.883088,-0.638954,0.038096,ALOS3
2018-01-22,ALOS3.SA,-1.125443,-1.757206,-0.011318,ALOS3
2018-01-23,ALOS3.SA,-3.455255,-5.151744,-0.035164,ALOS3
2018-01-24,ALOS3.SA,1.052617,-4.153356,0.010471,ALOS3
2018-01-25,ALOS3.SA,0.0,-4.153356,0.0,ALOS3
2018-01-26,ALOS3.SA,2.041669,-2.196484,0.020211,ALOS3
2018-01-29,ALOS3.SA,2.490839,0.239644,0.024603,ALOS3
2018-01-30,ALOS3.SA,-2.788869,-2.555909,-0.028285,ALOS3
2018-01-31,ALOS3.SA,-0.040985,-2.595846,-0.00041,ALOS3
2018-02-01,ALOS3.SA,0.451006,-2.156547,0.0045,ALOS3
2018-02-02,ALOS3.SA,-1.42859,-3.554328,-0.014389,ALOS3
2018-02-05,ALOS3.SA,-2.6915,-6.150164,-0.027284,ALOS3
2018-02-06,ALOS3.SA,0.0,-6.150164,0.0,ALOS3
2018-02-07,ALOS3.SA,0.042533,-6.110247,0.000425,ALOS3
2018-02-08,ALOS3.SA,-0.042514,-6.150164,-0.000425,ALOS3
2018-02-09,ALOS3.SA,1.148946,-5.07188,0.011424,ALOS3
2018-02-14,ALOS3.SA,-1.346239,-6.34984,-0.013554,ALOS3
2018-02-15,ALOS3.SA,0.42644,-5.950478,0.004255,ALOS3
2018-02-16,ALOS3.SA,-0.21232,-6.150164,-0.002125,ALOS3
2018-02-19,ALOS3.SA,1.27662,-4.952058,0.012685,ALOS3
2018-02-20,ALOS3.SA,-1.260528,-6.150164,-0.012685,ALOS3
2018-02-21,ALOS3.SA,-0.425511,-6.549505,-0.004264,ALOS3
2018-02-22,ALOS3.SA,0.0,-6.549505,0.0,ALOS3
2018-02-23,ALOS3.SA,0.427329,-6.150164,0.004264,ALOS3
2018-02-26,ALOS3.SA,-0.425511,-6.549505,-0.004264,ALOS3
2018-02-27,ALOS3.SA,0.470043,-6.110247,0.004689,ALOS3
2018-02-28,ALOS3.SA,-0.467844,-6.549505,-0.004689,ALOS3
2018-03-01,ALOS3.SA,0.0,-6.549505,0.0,ALOS3
2018-03-02,ALOS3.SA,0.34189,-6.230008,0.003413,ALOS3
2018-03-05,ALOS3.SA,-0.340725,-6.549505,-0.003413,ALOS3
2018-03-06,ALOS3.SA,2.222217,-4.472833,0.021979,ALOS3
2018-03-07,ALOS3.SA,-1.755868,-6.150164,-0.017715,ALOS3
2018-03-08,ALOS3.SA,-1.021261,-7.108616,-0.010265,ALOS3
2018-03-09,ALOS3.SA,1.590724,-5.63097,0.015782,ALOS3
2018-03-12,ALOS3.SA,-0.550174,-6.150164,-0.005517,ALOS3
2018-03-13,ALOS3.SA,1.702142,-4.552707,0.016878,ALOS3
2018-03-14,ALOS3.SA,0.669464,-3.913722,0.006672,ALOS3
2018-03-15,ALOS3.SA,-0.665012,-4.552707,-0.006672,ALOS3
2018-03-16,ALOS3.SA,0.4184,-4.153356,0.004175,ALOS3
2018-03-19,ALOS3.SA,-0.416657,-4.552707,-0.004175,ALOS3
2018-03-20,ALOS3.SA,0.0,-4.552707,0.0,ALOS3
2018-03-21,ALOS3.SA,-0.4184,-4.952058,-0.004193,ALOS3
2018-03-22,ALOS3.SA,0.882345,-4.113408,0.008785,ALOS3
2018-03-23,ALOS3.SA,-0.041661,-4.153356,-0.000417,ALOS3
2018-03-26,ALOS3.SA,1.333359,-2.875376,0.013245,ALOS3
2018-03-27,ALOS3.SA,-0.863531,-3.714077,-0.008673,ALOS3
2018-03-28,ALOS3.SA,-0.870979,-4.552707,-0.008748,ALOS3
2018-03-29,ALOS3.SA,0.920527,-3.674089,0.009163,ALOS3
2018-04-02,ALOS3.SA,-0.497547,-4.153356,-0.004988,ALOS3
2018-04-03,ALOS3.SA,-0.833313,-4.952058,-0.008368,ALOS3
2018-04-04,ALOS3.SA,0.126032,-4.832267,0.00126,ALOS3
2018-04-05,ALOS3.SA,0.419618,-4.432926,0.004187,ALOS3
2018-04-06,ALOS3.SA,-0.208906,-4.632571,-0.002091,ALOS3
2018-04-09,ALOS3.SA,-0.335007,-4.952058,-0.003356,ALOS3
2018-04-10,ALOS3.SA,-1.680675,-6.549505,-0.01695,ALOS3
2018-04-11,ALOS3.SA,-1.282053,-7.74759,-0.012903,ALOS3
2018-04-12,ALOS3.SA,2.251088,-5.670907,0.022261,ALOS3
2018-04-13,ALOS3.SA,-0.04236,-5.710865,-0.000424,ALOS3
2018-04-16,ALOS3.SA,-0.042345,-5.750792,-0.000424,ALOS3
2018-04-17,ALOS3.SA,0.338981,-5.431305,0.003384,ALOS3
2018-04-18,ALOS3.SA,-0.760145,-6.150164,-0.00763,ALOS3
2018-04-19,ALOS3.SA,-0.425511,-6.549505,-0.004264,ALOS3
2018-04-20,ALOS3.SA,-0.213692,-6.749201,-0.002139,ALOS3
2018-04-23,ALOS3.SA,-0.856522,-7.547915,-0.008602,ALOS3
2018-04-24,ALOS3.SA,-1.079932,-8.546334,-0.010858,ALOS3
2018-04-25,ALOS3.SA,0.0,-8.546334,0.0,ALOS3
2018-04-26,ALOS3.SA,1.492582,-7.181314,0.014816,ALOS3
2018-04-27,ALOS3.SA,-0.131751,-7.303603,-0.001318,ALOS3
