year,ticker,ticker_clean,longName,shortName,sector,industry,beta_selic_30d,pvalue,r2,n_obs,significant,median_return_30d_after_copom,mean_return_30d_after_copom,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct,beta_band,beta_abs,sig_label
2020,COGN3.SA,COGN3,Cogna Educação S.A.,COGNA ON    ON      NM,Consumer Defensive,Education & Training Services,-131.8966,0.0017,0.9752,5,True,2.6476,11.7722,73.0481,-71.3839,62271863.0,-73.5521,Mais sensível,131.8966,significativo
2020,PRIO3.SA,PRIO3,Prio S.A.,PRIO        ON      NM,Energy,Oil & Gas E&P,-122.1018,0.2626,0.3869,5,False,11.5034,29.41,90.8834,-78.791,22072996.0,721.416,Mais sensível,122.1018,nao_significativo
2020,BPAC11.SA,BPAC11,Banco BTG Pactual S.A.,BTGP BANCO  UNT     N2,Financial Services,Capital Markets,-120.3533,0.0602,0.7431,5,False,23.6528,16.7056,63.9318,-68.0142,13256429.0,461.1016,Mais sensível,120.3533,nao_significativo
2020,CYRE3.SA,CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRELA REALTON      NM,Consumer Cyclical,Residential Construction,-96.2315,0.0429,0.7927,5,True,1.2703,10.3337,67.7148,-63.7871,7700792.0,172.7623,Mais sensível,96.2315,significativo
2020,AXIA3.SA,AXIA3,AXIA Energia SA,AXIA ENERGIAON      NM,Utilities,Utilities - Renewable,-76.9903,0.1718,0.5158,5,False,31.2114,21.2643,63.3401,-63.5232,5979484.0,108.9851,Mais sensível,76.9903,nao_significativo
2020,DIRR3.SA,DIRR3,Direcional Engenharia S.A.,DIRECIONAL  ON      NM,Real Estate,Real Estate - Development,-76.7048,0.0132,0.9029,5,True,7.0529,12.2298,57.7222,-60.957,4469829.0,182.2745,Mais sensível,76.7048,significativo
2020,YDUQ3.SA,YDUQ3,Yduqs Participações S.A.,YDUQS PART  ON      NM,Consumer Defensive,Education & Training Services,-69.1395,0.2314,0.4275,5,False,-2.6674,8.0394,64.0213,-63.5689,3890989.0,8.053,Mais sensível,69.1395,nao_significativo
2020,SBSP3.SA,SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SABESP      ON      NM,Utilities,Utilities - Regulated Water,-66.8637,0.0958,0.6577,5,False,10.7874,7.659,50.6007,-54.0394,20010197.0,40.1408,Mais sensível,66.8637,nao_significativo
2020,B3SA3.SA,B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,Financial Services,Financial Data & Stock Exchanges,-66.0763,0.017,0.8856,5,True,23.8672,13.7828,51.0258,-42.6878,42233721.0,196.5565,Mais sensível,66.0763,significativo
2020,RENT3.SA,RENT3,Localiza Rent a Car S.A.,LOCALIZA    ON      NM,Industrials,Rental & Leasing Services,-62.6382,0.1036,0.641,5,False,9.8923,9.7776,59.9113,-57.9113,7563018.0,227.2076,Mais sensível,62.6382,nao_significativo
