period,start,end,phase,n_nodes,possible_pairs,n_edges,density,avg_corr,avg_abs_corr,median_abs_corr,p90_abs_corr,positive_edge_share,negative_edge_share,intra_sector_share,inter_sector_share,largest_component_share,sector_assortativity,modularity,nmi_sector,ari_sector,graph_n_nodes,graph_n_edges
pre_covid,2018-01-01,2019-12-31,pre_crise,67,2211,105,0.04749,0.260219,0.264602,0.252577,0.439457,0.990476,0.009524,0.371429,0.628571,0.477612,0.174263,0.3152,0.6351,0.1304,67,105
covid_crash,2020-01-01,2020-06-30,crise_covid,66,2145,1764,0.822378,0.618001,0.618001,0.642702,0.763679,1.0,0.0,0.114512,0.885488,1.0,-0.011171,0.0289,0.279,0.1118,66,1764
covid_recovery,2020-07-01,2020-12-31,recuperacao,68,2278,207,0.090869,0.296226,0.299557,0.298236,0.49349,1.0,0.0,0.309179,0.690821,0.764706,0.181841,0.4442,0.5599,0.2173,68,207
post_covid,2021-01-01,2021-12-31,recuperacao,75,2775,259,0.093333,0.30973,0.311044,0.313754,0.493128,1.0,0.0,0.332046,0.667954,0.653333,0.214849,0.4386,0.5672,0.2188,75,259
alta_selic,2022-01-01,2022-12-31,alta_selic,77,2926,394,0.134655,0.3158,0.316902,0.304999,0.532981,1.0,0.0,0.284264,0.715736,0.662338,0.156294,0.3153,0.5645,0.2312,77,394
eleicoes_out2022,2022-10-01,2022-12-31,alta_selic,77,2926,1026,0.350649,0.39756,0.404655,0.407576,0.680396,1.0,0.0,0.176413,0.823587,0.857143,0.038183,0.1135,0.4438,0.1778,77,1026
2023,2023-01-01,2023-12-31,pos_recuperacao,77,2926,359,0.122693,0.308121,0.308564,0.295628,0.517845,1.0,0.0,0.261838,0.738162,0.571429,0.141013,0.2729,0.6439,0.2744,77,359
2024,2024-01-01,2024-12-31,pos_recuperacao,77,2926,244,0.08339,0.280575,0.282109,0.270056,0.485281,1.0,0.0,0.286885,0.713115,0.558442,0.145591,0.261,0.6046,0.2158,77,244
2025,2025-01-01,2025-12-31,pos_recuperacao,78,3003,388,0.129204,0.30282,0.304751,0.282593,0.52391,1.0,0.0,0.257732,0.742268,0.564103,0.120548,0.193,0.5879,0.2112,78,388
