copom_date,delta_selic,ticker,return_30d,year,ticker_clean,sector,industry,longName,shortName,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct
2018-02-08,-0.25,ABEV3.SA,9.073992381661489,2018,ABEV3,Consumer Defensive,Beverages - Brewers,Ambev S.A.,AMBEV S/A   ON,21.0125,-37.6625,16307012.0,-26.7761
2018-02-08,-0.25,ALOS3.SA,-0.5889715134985929,2018,ALOS3,Real Estate,Real Estate Services,Allos S.A.,ALLOS       ON      NM,22.8551,-25.1882,36219.0,5.0016
2018-02-08,-0.25,AXIA3.SA,13.162863295151617,2018,AXIA3,Utilities,Utilities - Renewable,AXIA Energia SA,AXIA ENERGIAON      NM,63.5863,-51.8474,3803336.0,28.9516
2018-02-08,-0.25,AZZA3.SA,0.28192844740468903,2018,AZZA3,Consumer Cyclical,Footwear & Accessories,Azzas 2154 S.A.,AZZAS 2154  ON  ATZ NM,38.9949,-38.4822,302969.0,0.5277
2018-02-08,-0.25,B3SA3.SA,12.546911813314775,2018,B3SA3,Financial Services,Financial Data & Stock Exchanges,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,33.6273,-29.1313,31021778.0,20.6162
2018-02-08,-0.25,BBAS3.SA,16.252118623047764,2018,BBAS3,Financial Services,Banks - Regional,Banco do Brasil S.A.,BRASIL      ON  EJ  NM,39.5782,-43.2499,23524713.0,48.6927
2018-02-08,-0.25,BBDC3.SA,6.161413462525034,2018,BBDC3,Financial Services,Banks - Regional,Banco Bradesco S.A.,BRADESCO    ON  EJ  N1,35.5947,-37.3336,3658479.0,19.3583
2018-02-08,-0.25,BBDC4.SA,5.263458386114173,2018,BBDC4,Financial Services,Banks - Regional,Banco Bradesco S.A.,BRADESCO    PN  EJ  N1,32.2151,-33.3131,22228095.0,26.1751
2018-02-08,-0.25,BBSE3.SA,-0.6087216340684432,2018,BBSE3,Financial Services,Insurance - Diversified,BB Seguridade Participações S.A.,BBSEGURIDADEON      NM,25.702,-24.7115,3497298.0,7.6541
2018-02-08,-0.25,BEEF3.SA,-3.1833441293105835,2018,BEEF3,Consumer Defensive,Packaged Foods,Minerva S.A.,MINERVA     ON      NM,40.7466,-56.7493,1690544.0,-54.1781
2018-02-08,-0.25,BPAC11.SA,7.742843625919504,2018,BPAC11,Financial Services,Capital Markets,Banco BTG Pactual S.A.,BTGP BANCO  UNT     N2,26.8923,-24.7312,2361153.0,33.6394
2018-02-08,-0.25,BRAP4.SA,1.28327127323975,2018,BRAP4,Financial Services,Asset Management,Bradespar S.A.,BRADESPAR   PN      N1,38.0983,-24.0934,4625033.0,14.7561
2018-02-08,-0.25,BRKM5.SA,6.269430279456256,2018,BRKM5,Basic Materials,Chemicals,Braskem S.A.,BRASKEM     PNA     N1,34.8441,-24.7486,1589481.0,17.7541
2018-02-08,-0.25,CMIG4.SA,15.130724172953226,2018,CMIG4,Utilities,Utilities - Regulated Electric,Companhia Energética de Minas Gerais - CEMIG,CEMIG       PN      N1,41.0503,-20.1339,23869734.0,113.9572
2018-02-08,-0.25,COGN3.SA,-3.386485351443902,2018,COGN3,Consumer Defensive,Education & Training Services,Cogna Educação S.A.,COGNA ON    ON      NM,46.7185,-52.5117,11306316.0,-49.9258
2018-02-08,-0.25,CPFE3.SA,10.778988281165613,2018,CPFE3,Utilities,Utilities - Regulated Electric,CPFL Energia S.A.,CPFL ENERGIAON      NM,18.1665,-13.5218,477444.0,50.1668
2018-02-08,-0.25,CPLE3.SA,10.683396930259391,2018,CPLE3,Utilities,Utilities - Regulated Electric,Companhia Paranaense de Energia - COPEL,COPEL       ON      NM,29.8067,-26.5668,866236.0,50.1219
2018-02-08,-0.25,CSAN3.SA,3.961298154117321,2018,CSAN3,Energy,Oil & Gas Refining & Marketing,Cosan S.A.,COSAN       ON  ATZ NM,35.2351,-31.6702,5967922.0,-19.1052
2018-02-08,-0.25,CSMG3.SA,8.813402058218589,2018,CSMG3,Utilities,Utilities - Regulated Water,Companhia de Saneamento de Minas Gerais,COPASA      ON      NM,28.8949,-18.8583,1752691.0,52.9819
2018-02-08,-0.25,CSNA3.SA,-9.70677635550562,2018,CSNA3,Basic Materials,Steel,Companhia Siderúrgica Nacional,SID NACIONALON,49.2282,-33.9029,9087766.0,1.8433
2018-02-08,-0.25,CYRE3.SA,4.948455951615616,2018,CYRE3,Consumer Cyclical,Residential Construction,Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRELA REALTON      NM,36.3832,-34.1501,2799166.0,25.6788
2018-02-08,-0.25,DIRR3.SA,2.5209919075031006,2018,DIRR3,Real Estate,Real Estate - Development,Direcional Engenharia S.A.,DIRECIONAL  ON      NM,29.7315,-16.4885,2396690.0,41.1121
2018-02-08,-0.25,EGIE3.SA,12.017168387895016,2018,EGIE3,Utilities,Utilities - Renewable,Engie Brasil Energia S.A.,ENGIE BRASILON      NM,20.3407,-13.6434,1768481.0,36.4486
2018-02-08,-0.25,EMBJ3.SA,3.5448021653563755,2018,EMBJ3,Industrials,Aerospace & Defense,Embraer S.A.,EMBRAER     ON      NM,35.5481,-33.2488,3571724.0,6.2708
2018-02-08,-0.25,ENEV3.SA,-2.793696275071633,2018,ENEV3,Utilities,Utilities - Diversified,Eneva S.A.,ENEVA       ON      NM,21.726,-19.874,1431436.0,14.1135
2018-02-08,-0.25,ENGI11.SA,12.08536856470339,2018,ENGI11,Utilities,Utilities - Regulated Electric,Energisa S.A.,ENERGISA    UNT     N2,24.559,-19.7406,1030032.0,41.542
2018-02-08,-0.25,EQTL3.SA,4.2605885624983575,2018,EQTL3,Utilities,Utilities - Regulated Electric,Equatorial S.A.,EQUATORIAL  ON      NM,23.4149,-21.7276,5442054.0,15.4147
2018-02-08,-0.25,FLRY3.SA,3.7290343873486176,2018,FLRY3,Healthcare,Diagnostics & Research,Fleury S.A.,FLEURY      ON      NM,33.2164,-33.182,1917037.0,-31.0925
2018-02-08,-0.25,GGBR4.SA,14.967944403514878,2018,GGBR4,Basic Materials,Steel,Gerdau S.A.,GERDAU      PN      N1,41.8459,-25.9013,15438896.0,17.022
2018-02-08,-0.25,GOAU4.SA,14.350428811010229,2018,GOAU4,Basic Materials,Steel,Metalurgica Gerdau S.A.,GERDAU MET  PN      N1,39.8329,-26.1193,18475511.0,17.7656
2018-02-08,-0.25,HYPE3.SA,3.2078417028681416,2018,HYPE3,Healthcare,Drug Manufacturers - Specialty & Generic,Hypera S.A.,HYPERA      ON      NM,27.8694,-30.983,1975698.0,-13.3164
2018-02-08,-0.25,ISAE4.SA,2.038924400824138,2018,ISAE4,Utilities,Utilities - Independent Power Producers,ISA Energía Brasil S.A.,ISA ENERGIA PN      N1,21.3113,-14.8005,1636418.0,22.9553
2018-02-08,-0.25,ITSA4.SA,13.696233986009032,2018,ITSA4,Industrials,Conglomerates,Itaúsa S.A.,ITAUSA      PN  EJ  N1,31.8025,-31.5661,27314648.0,29.9
