copom_date,delta_selic,sector,median_return_30d,copom_direction,industry
2020-02-06,-0.25,Financial Services,-13.950444313965004,queda,Banks - Regional
2020-02-06,-0.25,Healthcare,2.1991668432662648,queda,Diagnostics & Research
2020-02-06,-0.25,Industrials,-13.431209209960738,queda,Rental & Leasing Services
2020-02-06,-0.25,Real Estate,-12.500692719774015,queda,Real Estate - Development
2020-02-06,-0.25,Technology,-13.941171331793045,queda,Software - Application
2020-02-06,-0.25,Utilities,-3.9196674305667925,queda,Utilities - Regulated Electric
2020-03-19,-0.5,Basic Materials,27.578020688387994,queda,Steel
2020-03-19,-0.5,Communication Services,-5.226197411327316,queda,Telecom Services
2020-03-19,-0.5,Consumer Cyclical,20.034052582062813,queda,Specialty Retail
2020-03-19,-0.5,Consumer Defensive,19.049303404647045,queda,Education & Training Services
2020-03-19,-0.5,Energy,34.41671945859708,queda,Oil & Gas E&P
2020-03-19,-0.5,Financial Services,20.24390562304095,queda,Banks - Regional
2020-03-19,-0.5,Healthcare,8.218645783479728,queda,Diagnostics & Research
2020-03-19,-0.5,Industrials,16.26132185280984,queda,Rental & Leasing Services
2020-03-19,-0.5,Real Estate,8.57114695547374,queda,Real Estate - Development
2020-03-19,-0.5,Technology,34.98743020704147,queda,Software - Application
2020-03-19,-0.5,Utilities,13.130157385202757,queda,Utilities - Regulated Electric
2020-05-07,-0.75,Basic Materials,18.980799217340724,queda,Steel
2020-05-07,-0.75,Communication Services,6.233138839084951,queda,Telecom Services
2020-05-07,-0.75,Consumer Cyclical,26.221974042632247,queda,Specialty Retail
2020-05-07,-0.75,Consumer Defensive,6.196239233298178,queda,Education & Training Services
2020-05-07,-0.75,Energy,19.58875095776511,queda,Oil & Gas E&P
2020-05-07,-0.75,Financial Services,24.561352463118304,queda,Banks - Regional
2020-05-07,-0.75,Healthcare,22.775838396182422,queda,Diagnostics & Research
2020-05-07,-0.75,Industrials,18.52430639659428,queda,Rental & Leasing Services
2020-05-07,-0.75,Real Estate,27.464711018419898,queda,Real Estate - Development
2020-05-07,-0.75,Technology,12.216238186342675,queda,Software - Application
2020-05-07,-0.75,Utilities,15.096147181276908,queda,Utilities - Regulated Electric
2020-06-18,-0.75,Basic Materials,5.860788640240333,queda,Steel
2020-06-18,-0.75,Communication Services,4.77678510793419,queda,Telecom Services
2020-06-18,-0.75,Consumer Cyclical,6.88567738007404,queda,Specialty Retail
2020-06-18,-0.75,Consumer Defensive,3.2821634870586425,queda,Education & Training Services
2020-06-18,-0.75,Energy,6.149007137821272,queda,Oil & Gas E&P
2020-06-18,-0.75,Financial Services,1.5920980678712837,queda,Banks - Regional
2020-06-18,-0.75,Healthcare,-1.0980594568672286,queda,Diagnostics & Research
2020-06-18,-0.75,Industrials,-1.3447913491852148,queda,Rental & Leasing Services
2020-06-18,-0.75,Real Estate,10.252546676999952,queda,Real Estate - Development
2020-06-18,-0.75,Technology,13.811419256103786,queda,Software - Application
2020-06-18,-0.75,Utilities,0.6473890364662005,queda,Utilities - Regulated Electric
2020-08-06,-0.25,Basic Materials,10.192230120037081,queda,Steel
2020-08-06,-0.25,Communication Services,-3.9011666628385013,queda,Telecom Services
2020-08-06,-0.25,Consumer Cyclical,7.1263189032974905,queda,Specialty Retail
2020-08-06,-0.25,Consumer Defensive,-4.11644604914469,queda,Education & Training Services
2020-08-06,-0.25,Energy,0.364551312859418,queda,Oil & Gas E&P
2020-08-06,-0.25,Financial Services,0.2359866836085578,queda,Banks - Regional
2020-08-06,-0.25,Healthcare,-5.60454365120715,queda,Diagnostics & Research
2020-08-06,-0.25,Industrials,-1.199994185761688,queda,Rental & Leasing Services
2020-08-06,-0.25,Real Estate,-2.877290943547006,queda,Real Estate - Development
2020-08-06,-0.25,Technology,-3.812669712702288,queda,Software - Application
2020-08-06,-0.25,Utilities,-3.7484784118230197,queda,Utilities - Regulated Electric
2021-03-18,0.75,Basic Materials,14.654983889785523,alta,Steel
2021-03-18,0.75,Communication Services,-4.951861396838864,alta,Telecom Services
2021-03-18,0.75,Consumer Cyclical,9.268170981429469,alta,Specialty Retail
2021-03-18,0.75,Consumer Defensive,16.223664598991938,alta,Education & Training Services
2021-03-18,0.75,Energy,-0.7913054759356275,alta,Oil & Gas E&P
2021-03-18,0.75,Financial Services,-0.6866357542445356,alta,Banks - Regional
2021-03-18,0.75,Healthcare,8.074619827596175,alta,Diagnostics & Research
2021-03-18,0.75,Industrials,4.146784757353473,alta,Rental & Leasing Services
2021-03-18,0.75,Real Estate,3.903179458070527,alta,Real Estate - Development
2021-03-18,0.75,Technology,7.748165625624637,alta,Software - Application
2021-03-18,0.75,Utilities,2.0237443026638213,alta,Utilities - Regulated Electric
2021-05-06,0.75,Basic Materials,-9.707064212934602,alta,Steel
2021-05-06,0.75,Communication Services,2.5050326641120835,alta,Telecom Services
2021-05-06,0.75,Consumer Cyclical,10.422399285582596,alta,Specialty Retail
2021-05-06,0.75,Consumer Defensive,0.2970209183133621,alta,Education & Training Services
2021-05-06,0.75,Energy,6.715266904087147,alta,Oil & Gas E&P
2021-05-06,0.75,Financial Services,8.049320436689255,alta,Banks - Regional
2021-05-06,0.75,Healthcare,3.5539147950051198,alta,Diagnostics & Research
2021-05-06,0.75,Industrials,3.917975998579415,alta,Rental & Leasing Services
2021-05-06,0.75,Real Estate,10.83804007582836,alta,Real Estate - Development
2021-05-06,0.75,Technology,2.6780345226627533,alta,Software - Application
2021-05-06,0.75,Utilities,5.8798541923049115,alta,Utilities - Regulated Electric
2021-06-17,0.75,Basic Materials,1.3067111020012678,alta,Steel
2021-06-17,0.75,Communication Services,-7.7399561348576835,alta,Telecom Services
2021-06-17,0.75,Consumer Cyclical,-2.949728186256695,alta,Specialty Retail
2021-06-17,0.75,Consumer Defensive,-2.5933927123702794,alta,Education & Training Services
2021-06-17,0.75,Energy,-0.7894712426221084,alta,Oil & Gas E&P
2021-06-17,0.75,Financial Services,-7.7605356117174225,alta,Banks - Regional
2021-06-17,0.75,Healthcare,-0.3494335267121951,alta,Diagnostics & Research
2021-06-17,0.75,Industrials,0.8278862220850058,alta,Rental & Leasing Services
2021-06-17,0.75,Real Estate,-6.172334704103422,alta,Real Estate - Development
2021-06-17,0.75,Technology,4.612009091701275,alta,Software - Application
2021-06-17,0.75,Utilities,-4.6912160811016905,alta,Utilities - Regulated Electric
2021-08-05,1.0,Basic Materials,-11.109224916855743,alta,Steel
2021-08-05,1.0,Communication Services,2.2397792341753875,alta,Telecom Services
2021-08-05,1.0,Consumer Cyclical,-8.422258868032305,alta,Specialty Retail
2021-08-05,1.0,Consumer Defensive,-3.1579057265874955,alta,Education & Training Services
2021-08-05,1.0,Energy,-2.5897747024799966,alta,Oil & Gas E&P
2021-08-05,1.0,Financial Services,-6.854343201791535,alta,Banks - Regional
2021-08-05,1.0,Healthcare,-0.8213554525549283,alta,Diagnostics & Research
2021-08-05,1.0,Industrials,-3.7893278956976086,alta,Rental & Leasing Services
2021-08-05,1.0,Real Estate,-13.060333887484221,alta,Real Estate - Development
2021-08-05,1.0,Technology,5.126158767505351,alta,Software - Application
2021-08-05,1.0,Utilities,1.4821506064027212,alta,Utilities - Regulated Electric
2021-09-23,1.0,Basic Materials,-2.0723327874588193,alta,Steel
2021-09-23,1.0,Communication Services,0.8148605061690184,alta,Telecom Services
2021-09-23,1.0,Consumer Cyclical,-17.9951853560491,alta,Specialty Retail
2021-09-23,1.0,Consumer Defensive,-8.554571459122972,alta,Education & Training Services
2021-09-23,1.0,Energy,-5.53700689689387,alta,Oil & Gas E&P
2021-09-23,1.0,Financial Services,-2.4113267763842874,alta,Banks - Regional
2021-09-23,1.0,Healthcare,-14.333328550872698,alta,Diagnostics & Research
2021-09-23,1.0,Industrials,-5.294714766467668,alta,Rental & Leasing Services
2021-09-23,1.0,Real Estate,-17.0939982232148,alta,Real Estate - Development
2021-09-23,1.0,Technology,-16.105243905995724,alta,Software - Application
2021-09-23,1.0,Utilities,-6.493486610782617,alta,Utilities - Regulated Electric
2021-10-28,1.5,Basic Materials,-1.566243835514991,alta,Steel
2021-10-28,1.5,Communication Services,17.652856742466827,alta,Telecom Services
2021-10-28,1.5,Consumer Cyclical,-0.39876456973775287,alta,Specialty Retail
2021-10-28,1.5,Consumer Defensive,-6.6085355128604695,alta,Education & Training Services
2021-10-28,1.5,Energy,4.8618740649917,alta,Oil & Gas E&P
2021-10-28,1.5,Financial Services,0.6843200133387461,alta,Banks - Regional
